csp350

VEHICLE
NUMBER     CAPACITY
  1000      1000000

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      0         0         0         0         0         0
    1      1         1         1         2         177         175
    2      2         2         1         7         214         207
    3      3         3         1         8         72         64
    4      4         4         1         13         158         145
    5      5         5         1         14         83         69
    6      6         6         1         25         51         26
    7      7         7         1         44         246         202
    8      8         8         1         48         219         171
    9      9         9         1         51         106         55
    10      10         10         1         57         94         37
    11      11         11         1         60         253         193
    12      12         12         1         61         190         129
    13      13         13         1         62         247         185
    14      14         14         1         62         224         162
    15      15         15         1         64         178         114
    16      16         16         1         73         251         178
    17      17         17         1         74         249         175
    18      18         18         1         88         150         62
    19      19         19         1         90         184         94
    20      20         20         1         95         255         160
    21      21         21         1         97         239         142
    22      22         22         1         100         198         98
    23      23         23         1         104         182         78
    24      24         24         1         106         199         93
    25      25         25         1         111         165         54
    26      26         26         1         123         276         153
    27      27         27         1         127         236         109
    28      28         28         1         128         274         146
    29      29         29         1         129         209         80
    30      30         30         1         132         311         179
    31      31         31         1         132         168         36
    32      32         32         1         147         332         185
    33      33         33         1         159         264         105
    34      34         34         1         162         301         139
    35      35         35         1         164         388         224
    36      36         36         1         165         400         235
    37      37         37         1         172         203         31
    38      38         38         1         181         324         143
    39      39         39         1         181         406         225
    40      40         40         1         183         238         55
    41      41         41         1         186         317         131
    42      42         42         1         186         222         36
    43      43         43         1         187         324         137
    44      44         44         1         191         407         216
    45      45         45         1         208         255         47
    46      46         46         1         213         438         225
    47      47         47         1         217         265         48
    48      48         48         1         220         376         156
    49      49         49         1         220         455         235
    50      50         50         1         223         333         110
    51      51         51         1         226         254         28
    52      52         52         1         230         328         98
    53      53         53         1         234         324         90
    54      54         54         1         237         474         237
    55      55         55         1         238         351         113
    56      56         56         1         249         304         55
    57      57         57         1         254         297         43
    58      58         58         1         258         325         67
    59      59         59         1         261         410         149
    60      60         60         1         268         463         195
    61      61         61         1         269         324         55
    62      62         62         1         271         328         57
    63      63         63         1         272         405         133
    64      64         64         1         280         506         226
    65      65         65         1         280         407         127
    66      66         66         1         281         342         61
    67      67         67         1         283         491         208
    68      68         68         1         285         412         127
    69      69         69         1         286         378         92
    70      70         70         1         287         400         113
    71      71         71         1         289         487         198
    72      72         72         1         290         307         17
    73      73         73         1         291         384         93
    74      74         74         1         292         435         143
    75      75         75         1         303         533         230
    76      76         76         1         324         503         179
    77      77         77         1         327         404         77
    78      78         78         1         329         551         222
    79      79         79         1         338         561         223
    80      80         80         1         339         381         42
    81      81         81         1         343         521         178
    82      82         82         1         343         520         177
    83      83         83         1         346         475         129
    84      84         84         1         347         572         225
    85      85         85         1         352         534         182
    86      86         86         1         359         446         87
    87      87         87         1         362         411         49
    88      88         88         1         363         419         56
    89      89         89         1         368         422         54
    90      90         90         1         371         496         125
    91      91         91         1         372         510         138
    92      92         92         1         381         605         224
    93      93         93         1         383         457         74
    94      94         94         1         392         616         224
    95      95         95         1         395         634         239
    96      96         96         1         397         534         137
    97      97         97         1         402         597         195
    98      98         98         1         406         632         226
    99      99         99         1         411         566         155
    100      100         100         1         411         529         118
    101      101         101         1         415         445         30
    102      102         102         1         416         441         25
    103      103         103         1         421         533         112
    104      104         104         1         424         495         71
    105      105         105         1         424         494         70
    106      106         106         1         434         518         84
    107      107         107         1         439         478         39
    108      108         108         1         443         582         139
    109      109         109         1         444         629         185
    110      110         110         1         455         660         205
    111      111         111         1         459         594         135
    112      112         112         1         466         642         176
    113      113         113         1         469         547         78
    114      114         114         1         471         584         113
    115      115         115         1         472         690         218
    116      116         116         1         473         557         84
    117      117         117         1         475         512         37
    118      118         118         1         481         532         51
    119      119         119         1         482         650         168
    120      120         120         1         494         641         147
    121      121         121         1         498         627         129
    122      122         122         1         500         541         41
    123      123         123         1         500         697         197
    124      124         124         1         506         604         98
    125      125         125         1         508         656         148
    126      126         126         1         509         609         100
    127      127         127         1         511         532         21
    128      128         128         1         522         677         155
    129      129         129         1         526         690         164
    130      130         130         1         530         725         195
    131      131         131         1         531         585         54
    132      132         132         1         532         652         120
    133      133         133         1         534         734         200
    134      134         134         1         534         683         149
    135      135         135         1         543         601         58
    136      136         136         1         544         642         98
    137      137         137         1         547         771         224
    138      138         138         1         548         771         223
    139      139         139         1         548         600         52
    140      140         140         1         553         698         145
    141      141         141         1         563         683         120
    142      142         142         1         563         590         27
    143      143         143         1         564         761         197
    144      144         144         1         568         760         192
    145      145         145         1         571         637         66
    146      146         146         1         575         724         149
    147      147         147         1         580         749         169
    148      148         148         1         588         755         167
    149      149         149         1         589         783         194
    150      150         150         1         596         832         236
    151      151         151         1         596         656         60
    152      152         152         1         604         745         141
    153      153         153         1         607         745         138
    154      154         154         1         612         670         58
    155      155         155         1         613         633         20
    156      156         156         1         619         826         207
    157      157         157         1         619         811         192
    158      158         158         1         620         637         17
    159      159         159         1         622         640         18
    160      160         160         1         623         741         118
    161      161         161         1         628         724         96
    162      162         162         1         632         660         28
    163      163         163         1         635         750         115
    164      164         164         1         638         812         174
    165      165         165         1         643         698         55
    166      166         166         1         644         702         58
    167      167         167         1         645         844         199
    168      168         168         1         646         868         222
    169      169         169         1         652         690         38
    170      170         170         1         653         744         91
    171      171         171         1         660         762         102
    172      172         172         1         664         817         153
    173      173         173         1         666         685         19
    174      174         174         1         668         886         218
    175      175         175         1         675         854         179
    176      176         176         1         676         830         154
    177      177         177         1         676         885         209
    178      178         178         1         679         772         93
    179      179         179         1         686         720         34
    180      180         180         1         687         899         212
    181      181         181         1         694         760         66
    182      182         182         1         696         835         139
    183      183         183         1         700         813         113
    184      184         184         1         704         725         21
    185      185         185         1         709         778         69
    186      186         186         1         715         954         239
    187      187         187         1         716         763         47
    188      188         188         1         720         949         229
    189      189         189         1         727         926         199
    190      190         190         1         727         852         125
    191      191         191         1         733         907         174
