csp300

VEHICLE
NUMBER     CAPACITY
  1000      1000000

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      0         0         0         0         0         0
    1      1         1         1         6         86         80
    2      2         2         1         9         169         160
    3      3         3         1         10         82         72
    4      4         4         1         15         216         201
    5      5         5         1         17         147         130
    6      6         6         1         19         256         237
    7      7         7         1         20         153         133
    8      8         8         1         21         255         234
    9      9         9         1         23         73         50
    10      10         10         1         29         83         54
    11      11         11         1         31         61         30
    12      12         12         1         33         62         29
    13      13         13         1         47         227         180
    14      14         14         1         48         66         18
    15      15         15         1         56         72         16
    16      16         16         1         62         254         192
    17      17         17         1         75         99         24
    18      18         18         1         79         283         204
    19      19         19         1         80         225         145
    20      20         20         1         80         214         134
    21      21         21         1         81         188         107
    22      22         22         1         83         112         29
    23      23         23         1         84         180         96
    24      24         24         1         86         118         32
    25      25         25         1         93         225         132
    26      26         26         1         95         176         81
    27      27         27         1         98         310         212
    28      28         28         1         98         236         138
    29      29         29         1         103         241         138
    30      30         30         1         118         194         76
    31      31         31         1         123         331         208
    32      32         32         1         126         194         68
    33      33         33         1         126         160         34
    34      34         34         1         128         193         65
    35      35         35         1         133         271         138
    36      36         36         1         135         275         140
    37      37         37         1         135         177         42
    38      38         38         1         135         367         232
    39      39         39         1         135         205         70
    40      40         40         1         140         364         224
    41      41         41         1         141         340         199
    42      42         42         1         143         313         170
    43      43         43         1         151         187         36
    44      44         44         1         154         246         92
    45      45         45         1         155         199         44
    46      46         46         1         156         228         72
    47      47         47         1         168         265         97
    48      48         48         1         169         195         26
    49      49         49         1         186         213         27
    50      50         50         1         187         305         118
    51      51         51         1         188         223         35
    52      52         52         1         192         236         44
    53      53         53         1         199         357         158
    54      54         54         1         204         414         210
    55      55         55         1         204         426         222
    56      56         56         1         205         253         48
    57      57         57         1         208         292         84
    58      58         58         1         210         293         83
    59      59         59         1         216         403         187
    60      60         60         1         221         301         80
    61      61         61         1         232         258         26
    62      62         62         1         237         338         101
    63      63         63         1         243         280         37
    64      64         64         1         259         396         137
    65      65         65         1         259         306         47
    66      66         66         1         262         413         151
    67      67         67         1         268         338         70
    68      68         68         1         274         317         43
    69      69         69         1         289         465         176
    70      70         70         1         290         435         145
    71      71         71         1         309         509         200
    72      72         72         1         311         453         142
    73      73         73         1         331         352         21
    74      74         74         1         331         358         27
    75      75         75         1         335         398         63
    76      76         76         1         341         416         75
    77      77         77         1         342         420         78
    78      78         78         1         343         402         59
    79      79         79         1         344         510         166
    80      80         80         1         346         407         61
    81      81         81         1         347         415         68
    82      82         82         1         353         487         134
    83      83         83         1         353         554         201
    84      84         84         1         360         381         21
    85      85         85         1         363         462         99
    86      86         86         1         363         401         38
    87      87         87         1         365         456         91
    88      88         88         1         368         459         91
    89      89         89         1         385         548         163
    90      90         90         1         390         434         44
    91      91         91         1         391         564         173
    92      92         92         1         392         493         101
    93      93         93         1         396         477         81
    94      94         94         1         397         518         121
    95      95         95         1         398         445         47
    96      96         96         1         410         618         208
    97      97         97         1         411         429         18
    98      98         98         1         416         612         196
    99      99         99         1         417         507         90
    100      100         100         1         418         573         155
    101      101         101         1         418         484         66
    102      102         102         1         419         563         144
    103      103         103         1         421         444         23
    104      104         104         1         425         539         114
    105      105         105         1         445         672         227
    106      106         106         1         445         517         72
    107      107         107         1         460         557         97
    108      108         108         1         460         513         53
    109      109         109         1         462         517         55
    110      110         110         1         465         481         16
    111      111         111         1         467         703         236
    112      112         112         1         472         637         165
    113      113         113         1         479         667         188
    114      114         114         1         484         532         48
    115      115         115         1         494         626         132
    116      116         116         1         495         705         210
    117      117         117         1         502         563         61
    118      118         118         1         521         737         216
    119      119         119         1         522         543         21
    120      120         120         1         536         560         24
    121      121         121         1         541         579         38
    122      122         122         1         543         677         134
    123      123         123         1         545         719         174
    124      124         124         1         549         582         33
    125      125         125         1         549         591         42
    126      126         126         1         552         692         140
    127      127         127         1         574         709         135
    128      128         128         1         575         791         216
    129      129         129         1         579         605         26
    130      130         130         1         590         645         55
    131      131         131         1         598         719         121
    132      132         132         1         606         632         26
    133      133         133         1         609         803         194
    134      134         134         1         614         672         58
    135      135         135         1         626         819         193
    136      136         136         1         626         683         57
    137      137         137         1         635         722         87
    138      138         138         1         637         796         159
    139      139         139         1         644         806         162
    140      140         140         1         644         690         46
    141      141         141         1         652         853         201
    142      142         142         1         657         804         147
    143      143         143         1         658         697         39
    144      144         144         1         660         678         18
    145      145         145         1         664         901         237
    146      146         146         1         666         808         142
    147      147         147         1         670         857         187
    148      148         148         1         671         821         150
    149      149         149         1         672         859         187
    150      150         150         1         688         906         218
    151      151         151         1         693         806         113
    152      152         152         1         694         775         81
    153      153         153         1         697         759         62
    154      154         154         1         698         934         236
    155      155         155         1         700         792         92
    156      156         156         1         700         737         37
    157      157         157         1         708         828         120
    158      158         158         1         714         943         229
    159      159         159         1         715         871         156
    160      160         160         1         717         844         127
    161      161         161         1         718         807         89
    162      162         162         1         726         920         194
    163      163         163         1         734         945         211
    164      164         164         1         735         926         191
    165      165         165         1         742         907         165
    166      166         166         1         743         836         93
    167      167         167         1         751         953         202
    168      168         168         1         760         799         39
    169      169         169         1         766         825         59
    170      170         170         1         775         963         188
    171      171         171         1         777         799         22
    172      172         172         1         782         922         140
    173      173         173         1         788         879         91
    174      174         174         1         788         1007         219
    175      175         175         1         790         909         119
    176      176         176         1         794         925         131
    177      177         177         1         796         859         63
    178      178         178         1         799         965         166
    179      179         179         1         800         914         114
    180      180         180         1         810         874         64
    181      181         181         1         812         970         158
    182      182         182         1         814         949         135
    183      183         183         1         814         882         68
    184      184         184         1         814         975         161
    185      185         185         1         816         992         176
    186      186         186         1         819         864         45
    187      187         187         1         822         1060         238
    188      188         188         1         829         869         40
    189      189         189         1         831         901         70
    190      190         190         1         833         966         133
