csp50

VEHICLE
NUMBER     CAPACITY
  1000      1000000

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      0         0         0         0         0         0
    1      1         1         1         1         144         143
    2      2         2         1         14         217         203
    3      3         3         1         60         212         152
    4      4         4         1         97         118         21
    5      5         5         1         134         365         231
    6      6         6         1         138         325         187
    7      7         7         1         143         272         129
    8      8         8         1         144         364         220
    9      9         9         1         220         255         35
    10      10         10         1         231         400         169
    11      11         11         1         264         478         214
    12      12         12         1         301         531         230
    13      13         13         1         324         444         120
    14      14         14         1         342         534         192
    15      15         15         1         402         576         174
    16      16         16         1         405         465         60
    17      17         17         1         410         462         52
    18      18         18         1         414         463         49
    19      19         19         1         419         507         88
    20      20         20         1         445         606         161
    21      21         21         1         461         652         191
    22      22         22         1         499         724         225
    23      23         23         1         541         693         152
    24      24         24         1         553         747         194
    25      25         25         1         554         615         61
    26      26         26         1         574         689         115
    27      27         27         1         576         708         132
    28      28         28         1         632         691         59
    29      29         29         1         656         726         70
    30      30         30         1         674         786         112
    31      31         31         1         711         765         54
    32      32         32         1         766         791         25
    33      33         33         1         775         882         107
    34      34         34         1         871         951         80
    35      35         35         1         886         927         41
    36      36         36         1         903         1104         201
    37      37         37         1         932         1168         236
    38      38         38         1         997         1055         58
    39      39         39         1         1023         1131         108
    40      40         40         1         1156         1190         34
    41      41         41         1         1195         1370         175
    42      42         42         1         1216         1445         229
    43      43         43         1         1259         1308         49
    44      44         44         1         1261         1298         37
    45      45         45         1         1278         1405         127
    46      46         46         1         1297         1433         136
    47      47         47         1         1333         1362         29
    48      48         48         1         1340         1543         203
    49      49         49         1         1351         1539         188
    50      50         50         1         1388         1528         140
