csp150

VEHICLE
NUMBER     CAPACITY
  1000      1000000

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      0         0         0         0         0         0
    1      1         1         1         3         62         59
    2      2         2         1         11         148         137
    3      3         3         1         37         147         110
    4      4         4         1         37         183         146
    5      5         5         1         40         259         219
    6      6         6         1         41         147         106
    7      7         7         1         44         82         38
    8      8         8         1         51         210         159
    9      9         9         1         60         178         118
    10      10         10         1         60         117         57
    11      11         11         1         65         142         77
    12      12         12         1         79         167         88
    13      13         13         1         80         111         31
    14      14         14         1         86         136         50
    15      15         15         1         104         239         135
    16      16         16         1         109         281         172
    17      17         17         1         112         201         89
    18      18         18         1         117         226         109
    19      19         19         1         121         286         165
    20      20         20         1         122         273         151
    21      21         21         1         146         348         202
    22      22         22         1         154         263         109
    23      23         23         1         180         347         167
    24      24         24         1         190         335         145
    25      25         25         1         202         224         22
    26      26         26         1         229         450         221
    27      27         27         1         244         446         202
    28      28         28         1         271         489         218
    29      29         29         1         279         456         177
    30      30         30         1         284         417         133
    31      31         31         1         289         422         133
    32      32         32         1         304         342         38
    33      33         33         1         309         524         215
    34      34         34         1         338         512         174
    35      35         35         1         346         378         32
    36      36         36         1         363         455         92
    37      37         37         1         380         483         103
    38      38         38         1         385         521         136
    39      39         39         1         387         501         114
    40      40         40         1         399         571         172
    41      41         41         1         401         452         51
    42      42         42         1         407         642         235
    43      43         43         1         408         453         45
    44      44         44         1         410         524         114
    45      45         45         1         432         554         122
    46      46         46         1         457         617         160
    47      47         47         1         460         610         150
    48      48         48         1         468         516         48
    49      49         49         1         476         504         28
    50      50         50         1         488         670         182
    51      51         51         1         513         680         167
    52      52         52         1         518         735         217
    53      53         53         1         526         609         83
    54      54         54         1         538         564         26
    55      55         55         1         548         652         104
    56      56         56         1         549         586         37
    57      57         57         1         549         729         180
    58      58         58         1         557         679         122
    59      59         59         1         567         792         225
    60      60         60         1         572         607         35
    61      61         61         1         575         794         219
    62      62         62         1         580         739         159
    63      63         63         1         608         655         47
    64      64         64         1         609         844         235
    65      65         65         1         636         865         229
    66      66         66         1         641         877         236
    67      67         67         1         654         783         129
    68      68         68         1         661         704         43
    69      69         69         1         666         757         91
    70      70         70         1         673         910         237
    71      71         71         1         675         901         226
    72      72         72         1         677         719         42
    73      73         73         1         678         729         51
    74      74         74         1         681         905         224
    75      75         75         1         704         833         129
    76      76         76         1         728         952         224
    77      77         77         1         729         773         44
    78      78         78         1         737         888         151
    79      79         79         1         745         796         51
    80      80         80         1         753         917         164
    81      81         81         1         762         941         179
    82      82         82         1         779         941         162
    83      83         83         1         791         827         36
    84      84         84         1         796         930         134
    85      85         85         1         797         892         95
    86      86         86         1         798         1007         209
    87      87         87         1         812         1040         228
    88      88         88         1         823         996         173
    89      89         89         1         824         844         20
    90      90         90         1         835         1017         182
    91      91         91         1         865         1046         181
    92      92         92         1         868         1051         183
    93      93         93         1         877         1040         163
    94      94         94         1         886         961         75
    95      95         95         1         890         906         16
    96      96         96         1         893         954         61
    97      97         97         1         922         958         36
    98      98         98         1         933         1081         148
    99      99         99         1         936         1011         75
    100      100         100         1         941         1099         158
    101      101         101         1         953         1114         161
    102      102         102         1         957         1092         135
    103      103         103         1         985         1115         130
    104      104         104         1         1021         1082         61
    105      105         105         1         1023         1197         174
    106      106         106         1         1026         1176         150
    107      107         107         1         1027         1261         234
    108      108         108         1         1037         1073         36
    109      109         109         1         1044         1199         155
    110      110         110         1         1053         1098         45
    111      111         111         1         1063         1177         114
    112      112         112         1         1064         1273         209
    113      113         113         1         1085         1290         205
    114      114         114         1         1092         1232         140
    115      115         115         1         1092         1325         233
    116      116         116         1         1102         1195         93
    117      117         117         1         1107         1318         211
    118      118         118         1         1131         1336         205
    119      119         119         1         1138         1172         34
    120      120         120         1         1151         1368         217
    121      121         121         1         1152         1307         155
    122      122         122         1         1158         1234         76
    123      123         123         1         1159         1326         167
    124      124         124         1         1162         1289         127
    125      125         125         1         1174         1312         138
    126      126         126         1         1175         1389         214
    127      127         127         1         1192         1258         66
    128      128         128         1         1195         1348         153
    129      129         129         1         1216         1285         69
    130      130         130         1         1224         1354         130
    131      131         131         1         1227         1455         228
    132      132         132         1         1238         1415         177
    133      133         133         1         1258         1472         214
    134      134         134         1         1261         1282         21
    135      135         135         1         1267         1464         197
    136      136         136         1         1278         1361         83
    137      137         137         1         1280         1516         236
    138      138         138         1         1289         1321         32
    139      139         139         1         1294         1381         87
    140      140         140         1         1309         1343         34
    141      141         141         1         1314         1534         220
    142      142         142         1         1337         1444         107
    143      143         143         1         1340         1518         178
    144      144         144         1         1366         1543         177
    145      145         145         1         1370         1524         154
    146      146         146         1         1403         1470         67
    147      147         147         1         1405         1576         171
    148      148         148         1         1420         1447         27
    149      149         149         1         1421         1659         238
    150      150         150         1         1435         1496         61
