csp400

VEHICLE
NUMBER     CAPACITY
  1000      1000000

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      0         0         0         0         0         0
    1      1         1         1         1         221         220
    2      2         2         1         6         58         52
    3      3         3         1         10         137         127
    4      4         4         1         10         127         117
    5      5         5         1         11         241         230
    6      6         6         1         11         215         204
    7      7         7         1         13         155         142
    8      8         8         1         14         63         49
    9      9         9         1         16         170         154
    10      10         10         1         18         217         199
    11      11         11         1         19         227         208
    12      12         12         1         20         88         68
    13      13         13         1         22         171         149
    14      14         14         1         26         260         234
    15      15         15         1         29         94         65
    16      16         16         1         30         196         166
    17      17         17         1         31         55         24
    18      18         18         1         33         222         189
    19      19         19         1         36         147         111
    20      20         20         1         39         257         218
    21      21         21         1         43         118         75
    22      22         22         1         55         189         134
    23      23         23         1         71         161         90
    24      24         24         1         72         258         186
    25      25         25         1         78         181         103
    26      26         26         1         86         201         115
    27      27         27         1         91         146         55
    28      28         28         1         92         280         188
    29      29         29         1         96         182         86
    30      30         30         1         96         250         154
    31      31         31         1         103         172         69
    32      32         32         1         105         317         212
    33      33         33         1         111         203         92
    34      34         34         1         111         261         150
    35      35         35         1         112         340         228
    36      36         36         1         114         166         52
    37      37         37         1         117         288         171
    38      38         38         1         118         187         69
    39      39         39         1         120         157         37
    40      40         40         1         121         285         164
    41      41         41         1         128         180         52
    42      42         42         1         131         159         28
    43      43         43         1         141         352         211
    44      44         44         1         158         393         235
    45      45         45         1         166         209         43
    46      46         46         1         168         352         184
    47      47         47         1         170         371         201
    48      48         48         1         172         226         54
    49      49         49         1         180         353         173
    50      50         50         1         182         264         82
    51      51         51         1         183         273         90
    52      52         52         1         184         295         111
    53      53         53         1         189         344         155
    54      54         54         1         190         361         171
    55      55         55         1         191         398         207
    56      56         56         1         197         235         38
    57      57         57         1         198         266         68
    58      58         58         1         200         367         167
    59      59         59         1         206         433         227
    60      60         60         1         209         238         29
    61      61         61         1         212         341         129
    62      62         62         1         216         385         169
    63      63         63         1         218         401         183
    64      64         64         1         218         371         153
    65      65         65         1         220         434         214
    66      66         66         1         221         247         26
    67      67         67         1         224         309         85
    68      68         68         1         229         283         54
    69      69         69         1         234         270         36
    70      70         70         1         237         393         156
    71      71         71         1         246         336         90
    72      72         72         1         247         306         59
    73      73         73         1         250         288         38
    74      74         74         1         250         386         136
    75      75         75         1         252         279         27
    76      76         76         1         252         308         56
    77      77         77         1         254         391         137
    78      78         78         1         256         455         199
    79      79         79         1         257         490         233
    80      80         80         1         269         439         170
    81      81         81         1         287         326         39
    82      82         82         1         291         350         59
    83      83         83         1         291         501         210
    84      84         84         1         294         412         118
    85      85         85         1         304         502         198
    86      86         86         1         313         396         83
    87      87         87         1         313         473         160
    88      88         88         1         314         347         33
    89      89         89         1         319         416         97
    90      90         90         1         320         364         44
    91      91         91         1         326         348         22
    92      92         92         1         328         465         137
    93      93         93         1         329         546         217
    94      94         94         1         332         437         105
    95      95         95         1         336         358         22
    96      96         96         1         337         445         108
    97      97         97         1         343         444         101
    98      98         98         1         352         567         215
    99      99         99         1         353         379         26
    100      100         100         1         354         522         168
    101      101         101         1         371         605         234
    102      102         102         1         372         423         51
    103      103         103         1         382         491         109
    104      104         104         1         386         543         157
    105      105         105         1         393         532         139
    106      106         106         1         401         487         86
    107      107         107         1         403         601         198
    108      108         108         1         407         503         96
    109      109         109         1         407         425         18
    110      110         110         1         410         461         51
    111      111         111         1         430         583         153
    112      112         112         1         430         493         63
    113      113         113         1         431         542         111
    114      114         114         1         438         495         57
    115      115         115         1         443         608         165
    116      116         116         1         449         587         138
    117      117         117         1         465         512         47
    118      118         118         1         470         681         211
    119      119         119         1         482         720         238
    120      120         120         1         489         669         180
    121      121         121         1         489         575         86
    122      122         122         1         493         717         224
    123      123         123         1         494         719         225
    124      124         124         1         496         651         155
    125      125         125         1         497         520         23
    126      126         126         1         497         706         209
    127      127         127         1         504         638         134
    128      128         128         1         504         545         41
    129      129         129         1         508         599         91
    130      130         130         1         510         546         36
    131      131         131         1         515         639         124
    132      132         132         1         516         663         147
    133      133         133         1         520         724         204
    134      134         134         1         520         737         217
    135      135         135         1         521         649         128
    136      136         136         1         523         604         81
    137      137         137         1         523         705         182
    138      138         138         1         525         541         16
    139      139         139         1         530         706         176
    140      140         140         1         534         683         149
    141      141         141         1         534         578         44
    142      142         142         1         541         557         16
    143      143         143         1         542         680         138
    144      144         144         1         542         648         106
    145      145         145         1         545         660         115
    146      146         146         1         554         740         186
    147      147         147         1         566         724         158
    148      148         148         1         566         654         88
    149      149         149         1         571         608         37
    150      150         150         1         577         653         76
    151      151         151         1         580         698         118
    152      152         152         1         584         600         16
    153      153         153         1         585         657         72
    154      154         154         1         585         669         84
    155      155         155         1         587         682         95
    156      156         156         1         601         625         24
    157      157         157         1         607         786         179
    158      158         158         1         616         689         73
    159      159         159         1         618         839         221
    160      160         160         1         619         841         222
    161      161         161         1         623         850         227
    162      162         162         1         624         725         101
    163      163         163         1         625         708         83
    164      164         164         1         629         759         130
    165      165         165         1         629         794         165
    166      166         166         1         631         669         38
    167      167         167         1         632         671         39
    168      168         168         1         634         758         124
    169      169         169         1         650         787         137
    170      170         170         1         669         857         188
    171      171         171         1         670         790         120
    172      172         172         1         677         810         133
    173      173         173         1         679         811         132
    174      174         174         1         680         785         105
    175      175         175         1         684         909         225
    176      176         176         1         687         833         146
    177      177         177         1         688         803         115
    178      178         178         1         690         799         109
    179      179         179         1         690         852         162
    180      180         180         1         692         922         230
    181      181         181         1         698         782         84
    182      182         182         1         699         902         203
    183      183         183         1         700         731         31
    184      184         184         1         704         867         163
    185      185         185         1         711         812         101
    186      186         186         1         711         755         44
    187      187         187         1         715         822         107
    188      188         188         1         717         925         208
    189      189         189         1         720         829         109
    190      190         190         1         727         903         176
    191      191         191         1         727         750         23
